,work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,is_abroad
0,2020,MI,Data Scientist,79833,0,DE,L,False
1,2020,SE,Machine Learning Scientist,260000,0,Asia,S,False
2,2020,SE,Big Data Engineer,109024,50,GB,M,False
3,2020,MI,Product Data Analyst,20000,0,Latin America,S,False
4,2020,SE,Machine Learning Engineer,150000,50,US,L,False
5,2020,EN,Data Analyst,72000,100,US,L,False
6,2020,SE,Lead Data Scientist,190000,100,US,S,False
7,2020,MI,Data Scientist,35735,50,Europe (other),L,False
8,2020,MI,Business Data Analyst,135000,100,US,L,False
9,2020,SE,Lead Data Engineer,125000,50,AU & NZ,S,False
10,2020,EN,Data Scientist,51321,0,FR,S,False
11,2020,MI,Data Scientist,40481,0,IN,L,False
12,2020,EN,Data Scientist,39916,0,FR,M,False
13,2020,MI,Lead Data Analyst,87000,100,US,L,False
14,2020,MI,Data Analyst,85000,100,US,L,False
15,2020,MI,Data Analyst,8000,50,Asia,L,False
16,2020,EN,Data Engineer,41689,100,Asia,S,False
17,2020,SE,Big Data Engineer,114047,100,GB,S,True
18,2020,EN,Data Science Consultant,5707,50,IN,M,False
19,2020,MI,Lead Data Engineer,56000,100,US,M,True
20,2020,MI,Machine Learning Engineer,43331,0,Asia,M,False
21,2020,MI,Product Data Analyst,6072,100,IN,L,False
22,2020,SE,Data Engineer,47899,50,GR,L,False
23,2020,MI,BI Data Analyst,98000,0,US,M,False
24,2020,MI,Lead Data Scientist,115000,0,Mid East / Africa,L,False
25,2020,EX,Director of Data Science,325000,100,US,L,False
26,2020,EN,Research Scientist,42000,50,Europe (other),L,False
27,2020,SE,Data Engineer,33511,0,Latin America,S,False
29,2020,SE,Machine Learning Manager,117104,50,CA,L,False
30,2020,MI,Data Engineering Manager,59303,100,DE,S,False
31,2020,EN,Big Data Engineer,70000,100,US,L,False
32,2020,SE,Data Scientist,68428,100,US,L,True
33,2020,MI,Research Scientist,450000,0,US,M,False
34,2020,MI,Data Analyst,46759,50,FR,L,False
35,2020,MI,Data Engineer,74130,50,Europe (other),L,False
36,2020,MI,Data Science Consultant,103000,100,US,L,False
37,2020,EN,Machine Learning Engineer,250000,50,US,L,False
38,2020,EN,Data Analyst,10000,100,Mid East / Africa,S,False
39,2020,EN,Machine Learning Engineer,138000,100,US,S,False
41,2020,EX,Data Engineering Manager,79833,50,ES,L,False
42,2020,MI,Machine Learning Infrastructure Engineer,50180,0,Europe (other),M,False
43,2020,MI,Data Engineer,106000,100,US,L,False
44,2020,MI,Data Engineer,112872,50,GB,L,False
46,2020,MI,Data Scientist,76958,100,GB,S,False
47,2020,SE,Data Engineer,188000,100,US,L,False
48,2020,MI,Data Scientist,105000,100,US,L,False
49,2020,MI,Data Engineer,70139,50,FR,L,False
50,2020,EN,Data Analyst,6072,0,IN,S,False
51,2020,EN,Data Analyst,91000,100,US,L,False
52,2020,EN,AI Scientist,45896,50,Europe (other),S,False
53,2020,EN,Data Engineer,54742,100,DE,L,True
55,2020,SE,Principal Data Scientist,148261,100,DE,M,False
56,2020,MI,Data Scientist,38776,100,ES,M,False
57,2020,MI,Data Scientist,118000,100,US,M,False
58,2020,SE,Data Scientist,120000,50,US,L,False
59,2020,MI,Data Scientist,138350,100,US,M,False
